5721,746
252565,84062
380,816
7255,61716409
61,200
10593,67494
91613,123133
1716224,162587
36152288,1716224
279668,60413
1204,585
18938,2478
15250,1805204
42987,43234
27628,16573
1380,2126
772,385
1654,5473
895,1824
1744,38435
836,838
1610832,122540012
15,19
349,388
72382855,349
1391671,3593575
528,935
1121,528
325,1121
478921,38288
545,1466
448,545
3002,448
2069,253
122880,93178
5239,285405
3734565,5239
1817434,78939
430592,12872
3727,430592
589,3727
1618,589
447726,13799
260,251
146,33
695,282
6970,479
9182,6970
19930,9182
3851,761
463,3687
6777,271
8398058,77092
695768,489027
37989,595410
14344057,1011
41530,742
274,37
461,1432
1432,461
1145,76
96303,30360
1607,464861
7759,1607
6256,7591
1590,133756050
461,829
40833,461
17471,40833
9005,17471
8337,4299
530,8337
8118033,251597
2133,30147
6579,2133
2028,6579
15159,3741
5134,15159
3139595,7627940
706492,155632
11174789,5241937
1651910,11174789
2837841,1651910
25214527,2837841
26266,2423980
491,2067
1385,491
1260,1423
3146,362560
21401,2391006
34370,21401
21868,36884
8561,186
28857,2100
60095,28857
102881,60095
172074,89266
2247,231
423466,404
5451,423466
413,455
27971,413
469652,27971
25278,50450
196757,65897
71394,2013
62384,14413
281705,33005
7503,281705
962,2297
1405,962
5097,1405
454,38
1425,5230
3134,2662
27363,3134
14438,24889
2923,313
657237,11530
381,7033
6140,29
3045122,858822
7883,7865
72882,7883
269709,72882
161543,3665
2336,366
424,2335
6876,2504
26545,40813
26694,48094123
70872,104808604
235372,2215
346,21360
59728,11592
263430,877541
7404239,14964592
562320,6163576
46301,46133
482667,46301
7950,2963
625,579
121,487
697892,793075
8000,238728
139,402
1626,11220
2095,566
2041,2095
1165,588
1435,3185
271,45
350,446
26425,207871
352,137
251,352
26584,251
178697,9122
431,350
4135,431
31264,15014
220741,31264
72650,818
68410,26370
1373,290
26703,50344
61448513,154840
150003,19017
6301408,83286
7538329,6301408
825,2529
4342,825
424839,8842
10117,553
143,10117
172950,11788
1548,194329
6562521,1548
674,1166
602,674
5786,7995
8836,3754
54438,8836
7226,854
69185,8085
2624378,7486398
372,15280
107848,6989
11404,2107
20874,8566
49467,18356
616,137
38,95
101,652
922,1122
148,264
319824,1837759
146714,319824
17571,3963
77842,305742
560464,30516
294,193
116,294
163,116
343,163
699,343
266,699
146,266
224,146
104,380
73,104
86,73
15243,6159
254547,50001
3773,254547
4068,3773
6192,480
5917,125854
12835,102559947
49040,3954
1907,6621
32467,14501
230,623
2024,230
68018,31783
6515,315
77905,6515
262406,77905
791,730
80,93105
1642,1686
68495,1642
14225,68495
518,3725
1198,518
145,3896
12221431,154553
177860,23512
18834,5917
11757415,618624
689636,11757415
230,17666
29909,230
38186056,29909
109085060,38186056
6959,2792
16814,1643989
35193,3621
834,35
667,220
218,136
79,384
700,1213
72428,83610
29990,34906
81,1530
19,25
207,1408
9920,207
59149,5420
9208,1364
3976,11850
99071,3976
98981,3973
42021,98981
28722,3616
6595,1147
289549,6595
40,90917
406,418
1641,1607
118955,50368
8155,118955
10450,8155
34155,10450
33795,34155
2964,33795
15689,5784
473,15689
14448,476
7886,36514
1318,2808
71,82
8664,71
13267,8664
17789447,264221
7553,16566
9478,15891
53104,47109
4552,5293
270151,4552
4216,62081
695267,4216
6867,695267
349647,7179
14395,48414
3847,35458
41636,3847
708,338
36554,43091
6936,433
10715,96479
2291,10715
281,128329838
1404,281
1007,129
3547,1007
6615,380
7421,1164
470,318
626,470
2761,626
191,85
57,191
14279074,57
36433,119449
4755,2118
447,274
885,301
515879,61508
23452,10356
187,970
261,613
46880,13659
969,13885
90047,191
1337,743
7433,2021
3902,1551
481,437
14471,17923
1369,93032
6331,2853
363,16893
1921,359
11114,6495
4476471,1193
236,544
24877,4452919
363,490
49241,6600652
1403412,69137
2017,65444
70580,43572
205322,3827
158929,8221
9769186,165742
5566,1918
26737,2222
7073,2279
38806,44
20250219,38806
133,858
1138,3894
43182,15237
11499,43182
836,11499
5763,1282
32774,1669
1790,971
354,272
877,354
348,877
1691,348
649,1691
1815,1143
1556,1815
97729,9130223
2864,819
2545,83
4272,4070
2464,48861
64588,733
17835,336414
65618,17835
427998,1758
1139461,427998
25433,88572199
5072,2748
3177,5072
1893,3177
4598,58300052
1307,17049
1404,1307
747,1404
1243,3509
6238355,2998614
133194,20768
19441,118647494
179885,73246
1083,1933
2373,4888
52329,2373
338,153
694146,5081
139023,10389
82796,3603
276,175
9699,15196
55244,9699
2872,4529
2979,2872
35673,18134
11495,417133
164759,100772
250502,18868
3967,2569
6113,5932
21517,38175
19410,245075
154199,19410
145807,154199
33067,1126
7146634,33067
270,3521
10145,270
59710,10145
2203,59710
195680,2203
27355,4815
5635,1825
72010,2038
44659,3897
36940,44659
167251,36940
1043,6405
164,173
2413,417724
14661,1567
848,5660
16784,24759
1021,2468
42709,3984852
19653,42709
982026,16843
67401,799058
318239,2555
7566,318239
1806,7566
426,226
1571,416
74956,455
610,345
310,610
387,310
591,171036
6976,28496
2090,4001
960,2090
4034,960
