year,month,count,next_ninetyth_percentile_reaction_time_days,next_tenth_percentile_reaction_time_minutes,prev_ninetyth_percentile_reaction_time_days,prev_tenth_percentile_reaction_time_minutes
2016,7,1264,1.20049768518519,3.48333333333333,0.992928240740741,4.66666666666667
2016,8,1387,1.13055555555556,2.96666666666667,1.15247685185185,3.76666666666667
2016,9,1401,1.04020833333333,2.91666666666667,1.12347222222222,3.68333333333333
2016,10,1229,1.20960648148148,2.58333333333333,1.29894675925926,3.38333333333333
2016,11,1389,1.13971064814815,2.68333333333333,1.0672337962963,3.36666666666667
2016,12,1334,0.885150462962963,2.53333333333333,0.84599537037037,3.13333333333333
2017,1,1446,1.01663194444444,2.96666666666667,1.09506944444444,3.68333333333333
2017,2,1557,0.955798611111111,2.7,1.04134259259259,3.16666666666667
2017,3,1647,1.02017361111111,2.61666666666667,1.1871875,3.33333333333333
2017,4,1308,0.928518518518519,3.5,0.858993055555556,3.48333333333333
2017,5,1370,1.06678240740741,2.86666666666667,1.48777777777778,3.41666666666667
