year,weekday,daily_q_mean,daily_a_mean,daily_co_mean,daily_e_mean
2017,7,2.4684931506849315,2.8849315068493151,8.0109589041095890,13.5205479452054795
2018,5,6.2246575342465753,7.0273972602739726,21.5643835616438356,18.6602739726027397
2019,6,2.4958904109589041,2.4054794520547945,6.8986301369863014,10.8794520547945205
2020,5,3.2849315068493151,2.7424657534246575,9.1917808219178082,7.8794520547945205
2012,5,3.7452054794520548,5.3397260273972603,12.0657534246575342,6.7753424657534247
2013,7,1.9589041095890411,2.6273972602739726,6.0684931506849315,5.0493150684931507
2014,5,6.2602739726027397,7.3178082191780822,19.8273972602739726,13.4657534246575342
2015,7,2.5315068493150685,2.8438356164383562,8.4191780821917808,9.7013698630136986
2016,2,8.3534246575342466,9.3068493150684932,27.0986301369863014,25.3945205479452055
2016,4,8.2054794520547945,9.1863013698630137,27.7589041095890411,24.8273972602739726
2019,3,8.0684931506849315,7.1424657534246575,24.6520547945205479,22.5315068493150685
2010,2,0.53698630136986301370,1.3479452054794521,2.0027397260273973,0.89589041095890410959
2010,4,0.69041095890410958904,1.7589041095890411,2.2136986301369863,0.94246575342465753425
2012,3,4.3452054794520548,5.9287671232876712,13.0684931506849315,7.4630136986301370
2014,3,7.5616438356164384,8.9753424657534247,24.4547945205479452,16.1369863013698630
2017,2,7.5150684931506849,8.1561643835616438,25.0821917808219178,23.9890410958904110
2017,4,7.9890410958904110,8.6054794520547945,26.4383561643835616,26.6876712328767123
2018,6,2.2246575342465753,2.7616438356164384,6.8575342465753425,9.7041095890410959
2019,5,6.9260273972602740,6.4246575342465753,21.1068493150684932,20.1835616438356164
2020,6,1.5150684931506849,1.2383561643835616,4.3671232876712329,5.0410958904109589
2012,6,1.3150684931506849,2.1424657534246575,4.0767123287671233,2.4575342465753425
2013,2,5.6684931506849315,7.2849315068493151,18.5178082191780822,11.1232876712328767
2013,4,5.8438356164383562,7.3835616438356164,18.5506849315068493,11.1479452054794521
2014,6,2.2000000000000000,2.9589041095890411,6.9616438356164384,6.8712328767123288
2015,2,8.1287671232876712,8.9479452054794521,25.9890410958904110,19.7808219178082192
2015,4,7.9561643835616438,9.2164383561643836,26.7123287671232877,19.5342465753424658
2016,7,2.7452054794520548,3.2136986301369863,8.8109589041095890,11.8054794520547945
2018,3,7.6273972602739726,7.9890410958904110,24.7589041095890411,21.8465753424657534
2020,3,3.7972602739726027,2.9780821917808219,10.5260273972602740,9.0767123287671233
2010,5,0.61095890410958904110,1.7287671232876712,2.0712328767123288,0.91780821917808219178
2016,3,8.5095890410958904,9.5561643835616438,28.3479452054794521,25.2849315068493151
2017,5,6.9945205479452055,7.3671232876712329,22.5205479452054795,22.0191780821917808
2018,7,2.2027397260273973,2.6575342465753425,6.6904109589041096,9.4767123287671233
2019,2,7.6520547945205479,6.9452054794520548,23.9287671232876712,22.6164383561643836
2019,4,7.8191780821917808,7.0054794520547945,24.4273972602739726,22.5863013698630137
2020,7,1.5123287671232877,1.3013698630136986,3.9863013698630137,4.9561643835616438
2012,7,1.3561643835616438,2.0410958904109589,3.9150684931506849,2.4027397260273973
2013,5,4.9890410958904110,6.5095890410958904,16.6575342465753425,9.8602739726027397
2014,7,2.3808219178082192,2.9315068493150685,7.1780821917808219,7.2273972602739726
2015,5,6.8931506849315068,7.7863013698630137,22.5424657534246575,16.6356164383561644
2016,6,2.5726027397260274,3.1589041095890411,8.5698630136986301,11.5095890410958904
